FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2010,1,ADAIR,926972,279285,740324,356140,3277161,255831,645269,0,3180,258168,6742330,1049063,0,7791393,POINT (-94.4709413 41.3307464)
2011,1,ADAIR,1042070,242722,819689,391168,4393432,265146,732334,0,65313,2522127,10474001,1222074,0,11696075,POINT (-94.4709413 41.3307464)
2012,1,ADAIR,1151852,250758,799031,443589,3981891,279894,694211,0,268250,1987942,9857418,1357600,0,11215018,POINT (-94.4709413 41.3307464)
2013,1,ADAIR,1160095,282580,285565,444453,4879090,306630,744142,0,765450,1261053,10129058,2218266,0,12347324,POINT (-94.4709413 41.3307464)
2014,1,ADAIR,1245884,287759,471728,456777,4402681,325221,769810,0,1053050,4444604,13457514,5518451,0,18975965,POINT (-94.4709413 41.3307464)
2015,1,ADAIR,1334664,373380,427576,516388,4416374,330837,696044,0,1298895,2731932,12126090,3482227,0,15608317,POINT (-94.4709413 41.3307464)
2016,1,ADAIR,1352345,320981,318902,518186,4342173,420026,782745,0,1368848,4682218,14106424,1829912,0,15936336,POINT (-94.4709413 41.3307464)
2017,1,ADAIR,1371674,256374,262448,541753,4708377,408349,751839,0,1461196,2601482,12363492,1617903,0,13981395,POINT (-94.4709413 41.3307464)
2018,1,ADAIR,1539025,251344,251932,507451,5115660,453921,864545,0,1641011,4596477,15221366,1596299,0,16817665,POINT (-94.4709413 41.3307464)
2019,1,ADAIR,1690109,282652,271308,498141,5290220,442485,941156,0,3519598,4553423,17489092,1323869,0,18812961,POINT (-94.4709413 41.3307464)
2020,1,Adair,1769193,271884,258796,546130,6081097,451055,983009,0,2291666,7846716,20499546,1322396,0,21821942,POINT (-94.4709413 41.3307464)
2021,1,Adair,1756169,278496,252000,796212,6052013,460199,959336,0,3162437,3986038,17702900,1104000,0,18806900,POINT (-94.4709413 41.3307464)
2010,2,ADAMS,882947,240879,481925,557288,2660968,191087,699437,31923,521316,19015,6286785,1100064,0,7386849,POINT (-94.6991849 41.02898390000001)
2011,2,ADAMS,887510,284369,571678,600903,2614000,205041,615436,17029,518687,452,6315105,743800,0,7058905,POINT (-94.6991849 41.02898390000001)
2012,2,ADAMS,1006863,275594,684396,670225,2918938,195663,701565,41430,912350,5508,7412532,1050632,0,8463164,POINT (-94.6991849 41.02898390000001)
2013,2,ADAMS,1010440,365838,181874,578773,2711979,239132,714785,35003,462279,16738,6316841,870365,0,7187206,POINT (-94.6991849 41.02898390000001)
2014,2,ADAMS,1030981,226897,351676,727056,2422552,224106,731096,27586,458150,62109,6262209,845361,0,7107570,POINT (-94.6991849 41.02898390000001)
2015,2,ADAMS,1014760,258707,434927,817850,2959385,277309,671558,84605,460929,277423,7257453,866421,0,8123874,POINT (-94.6991849 41.02898390000001)
2016,2,ADAMS,993716,234510,170644,809208,3204783,297696,745444,13362,950595,2640213,10060171,901513,0,10961684,POINT (-94.6991849 41.02898390000001)
2017,2,ADAMS,1217512,148899,153310,703400,3510456,294261,812920,39656,927319,578737,8386470,1125785,0,9512255,POINT (-94.6991849 41.02898390000001)
2018,2,ADAMS,1408991,212347,153311,707871,3596917,329740,787939,28670,776017,923622,8925425,968420,0,9893845,POINT (-94.6991849 41.02898390000001)
2019,2,ADAMS,1465438,198489,178812,866183,3531709,329668,775832,0,872527,616940,8835598,1099211,0,9934809,POINT (-94.6991849 41.02898390000001)
2020,2,Adams,1689443,210731,150209,793352,4032469,349004,867811,0,965176,1117834,10176029,1747582,0,11923611,POINT (-94.6991849 41.02898390000001)
2021,2,Adams,1756873,228403,73999,1124964,4419467,379554,835953,0,873418,1121547,10814178,1167089,0,11981267,POINT (-94.6991849 41.02898390000001)
2010,3,ALLAMAKEE,1374596,711347,1622626,797376,4004641,385772,810985,15803,0,987268,10710414,1365827,0,12076241,POINT (-91.3780923 43.2842838)
2011,3,ALLAMAKEE,1537496,611220,1734397,839055,4154215,382460,820249,39516,0,910707,11029315,1343661,0,12372976,POINT (-91.3780923 43.2842838)
2012,3,ALLAMAKEE,1526971,628816,1989737,869405,4396674,407948,860078,45852,0,1086263,11811744,1419616,0,13231360,POINT (-91.3780923 43.2842838)
2013,3,ALLAMAKEE,1594965,652249,1209344,870293,4678034,418072,898243,26381,0,1067236,11414817,1467413,0,12882230,POINT (-91.3780923 43.2842838)
2014,3,ALLAMAKEE,1586688,640172,930519,1072156,4887750,470305,1038032,128495,0,788798,11542915,1509069,0,13051984,POINT (-91.3780923 43.2842838)
2015,3,ALLAMAKEE,1673369,599100,1163208,1099700,4721475,503097,1047559,58523,0,1694187,12560218,1566470,0,14126688,POINT (-91.3780923 43.2842838)
2016,3,ALLAMAKEE,1924807,623262,769703,1969081,5236266,506573,1050420,112749,103646,2617842,14914349,1612965,0,16527314,POINT (-91.3780923 43.2842838)
2017,3,ALLAMAKEE,2177453,655540,822985,2793518,6236508,484228,1040120,7227,409670,5132964,19760213,1743805,0,21504018,POINT (-91.3780923 43.2842838)
2018,3,ALLAMAKEE,2313447,684109,769564,1172173,6451759,492369,1038812,13680,407567,1352343,14695823,1805887,0,16501710,POINT (-91.3780923 43.2842838)
2019,3,ALLAMAKEE,2397569,676511,700118,1035759,5571516,527106,1085315,7828,411951,1409079,13822752,1915460,0,15738212,POINT (-91.3780923 43.2842838)
2020,3,Allamakee,2616659,630298,615151,1126585,6300392,568350,1058841,11663,426692,989132,14343763,1949670,0,16293433,POINT (-91.3780923 43.2842838)
2021,3,Allamakee,2850511,608975,416496,1131976,6346027,604625,1135155,15608,407754,499893,14017020,1973755,0,15990775,POINT (-91.3780923 43.2842838)
2010,4,APPANOOSE,1703275,698207,1478742,628856,3014049,413401,968794,0,192379,871563,9969266,501148,0,10470414,POINT (-92.8686104 40.7431635)
2011,4,APPANOOSE,1751404,761055,576845,756649,3231654,411539,865149,0,140575,940033,9434903,499421,0,9934324,POINT (-92.8686104 40.7431635)
2012,4,APPANOOSE,1879540,738824,522571,559701,3789406,406790,911495,0,196172,443198,9447697,769915,0,10217612,POINT (-92.8686104 40.7431635)
2013,4,APPANOOSE,1957565,673572,1876814,525816,3252266,442160,961172,0,195537,388903,10273805,702475,0,10976280,POINT (-92.8686104 40.7431635)
2014,4,APPANOOSE,1990089,761129,790066,517216,3556094,464278,1119118,0,200212,728797,10126999,727264,0,10854263,POINT (-92.8686104 40.7431635)
2015,4,APPANOOSE,2118266,909951,790799,654578,3298261,457472,922028,0,192817,155767,9499939,716957,0,10216896,POINT (-92.8686104 40.7431635)
2016,4,APPANOOSE,2131862,742900,808072,795101,3571180,577131,908506,0,152012,117029,9803793,710699,0,10514492,POINT (-92.8686104 40.7431635)
2017,4,APPANOOSE,2213276,698521,355765,700066,3370390,482076,936165,0,156272,358938,9271469,685207,0,9956676,POINT (-92.8686104 40.7431635)
2018,4,APPANOOSE,2511077,537548,436255,609222,3185299,476313,1037141,0,99282,298744,9190881,706927,0,9897808,POINT (-92.8686104 40.7431635)
2019,4,APPANOOSE,2526421,448692,727196,715233,3841659,506054,944213,0,116110,450287,10275865,630654,0,10906519,POINT (-92.8686104 40.7431635)
2020,4,Appanoose,2394387,450952,775263,780437,4137113,552701,1021911,0,102220,158751,10373735,650913,0,11024648,POINT (-92.8686104 40.7431635)
2021,4,Appanoose,2760525,443495,529298,614775,3972042,587219,1003830,0,100775,1443229,11455188,801080,0,12256268,POINT (-92.8686104 40.7431635)
2010,5,AUDUBON,1035779,583452,680767,671793,2477185,304444,736099,0,119275,352381,6961175,712928,0,7674103,POINT (-94.9058222 41.6845893)
2011,5,AUDUBON,1050246,564468,742892,1290457,2924470,313865,668884,511,81311,36149,7673253,692902,0,8366155,POINT (-94.9058222 41.6845893)
2012,5,AUDUBON,1048565,568083,1033801,468036,3276566,317447,704664,0,79573,248823,7745558,807451,0,8553009,POINT (-94.9058222 41.6845893)
2013,5,AUDUBON,1047272,488973,305462,477955,3615093,315013,645052,0,77704,468783,7441307,730393,0,8171700,POINT (-94.9058222 41.6845893)
2014,5,AUDUBON,1117519,516091,70186,504427,3323969,272029,633570,0,66458,43732,6547981,666220,0,7214201,POINT (-94.9058222 41.6845893)
2015,5,AUDUBON,1246462,543238,124170,454880,3840304,280391,635856,0,24781,247912,7397994,683306,0,8081300,POINT (-94.9058222 41.6845893)
2016,5,AUDUBON,1228399,594662,124040,833278,4212971,313766,692551,0,318247,942145,9260059,993784,0,10253843,POINT (-94.9058222 41.6845893)
2017,5,AUDUBON,1207173,578408,198648,605988,4611383,337295,746753,0,176870,2453533,10916051,726514,0,11642565,POINT (-94.9058222 41.6845893)
2018,5,AUDUBON,1315277,714437,173115,913290,4277949,364252,800890,0,3518280,1637430,13714920,5391192,0,19106112,POINT (-94.9058222 41.6845893)
2019,5,AUDUBON,1481456,681969,239965,656634,4376672,380357,729232,0,375237,1381031,10302553,2486605,0,12789158,POINT (-94.9058222 41.6845893)
2020,5,Audubon,1495018,633458,177493,588279,5135871,405007,857755,0,355138,97724,9745743,830250,0,10575993,POINT (-94.9058222 41.6845893)
2021,5,Audubon,1630733,416931,152724,562243,4983476,447620,825153,0,601165,436595,10056640,1348144,0,11404784,POINT (-94.9058222 41.6845893)
2010,6,BENTON,3011873,838020,1780567,1859984,6181793,588418,1284715,0,0,1192788,16738158,3783343,0,20521501,POINT (-92.0656912 42.0801864)
2011,6,BENTON,2753313,850271,1774635,1837601,6029602,548776,1196451,0,66232,7176682,22233563,4336631,0,26570194,POINT (-92.0656912 42.0801864)
2012,6,BENTON,3364436,713129,2299335,1564855,6348780,584924,1366582,140161,857250,644598,17884050,3647088,0,21531138,POINT (-92.0656912 42.0801864)
2013,6,BENTON,3166847,799631,1147371,2038451,6142971,798547,1402207,135123,100650,569535,16301333,3700954,0,20002287,POINT (-92.0656912 42.0801864)
2014,6,BENTON,3375802,774106,743028,2029100,6842491,673287,1352967,110078,99400,1056480,17056739,4305797,0,21362536,POINT (-92.0656912 42.0801864)
2015,6,BENTON,3662595,776931,704107,3576967,7359479,659264,1471006,93256,97760,676921,19078286,3894652,0,22972938,POINT (-92.0656912 42.0801864)
2016,6,BENTON,3843303,902115,945896,1962636,7136612,687761,1599794,126478,183826,1878862,19267283,3670595,0,22937878,POINT (-92.0656912 42.0801864)
2017,6,BENTON,3872835,917525,961005,1774194,7643811,711229,1800472,119124,183694,2141797,20125686,4328749,0,24454435,POINT (-92.0656912 42.0801864)
2018,6,BENTON,4019187,980849,843669,2125837,7243446,727617,1973234,109663,139511,433638,18596651,4341288,0,22937939,POINT (-92.0656912 42.0801864)
2019,6,BENTON,4345397,1087167,812479,3057839,8226511,739342,1860912,100045,605907,970494,21806093,4746985,0,26553078,POINT (-92.0656912 42.0801864)
2020,6,Benton,4527727,948774,996648,4844313,9250185,742020,1880982,112664,0,1292538,24595851,4270119,0,28865970,POINT (-92.0656912 42.0801864)
2021,6,Benton,4674896,978783,1298620,6270058,7790432,780427,1824003,110133,0,1703326,25430678,4610000,0,30040678,POINT (-92.0656912 42.0801864)
2010,7,BLACK HAWK,17080069,11901238,21254887,4968706,5099989,1729895,5506549,0,5159809,7043439,79744581,2083911,0,81828492,POINT (-92.3088197 42.4700957)
2011,7,BLACK HAWK,17456467,8209118,2966587,5903534,5559563,1501987,5541663,0,4325362,8911300,60375581,2129046,0,62504627,POINT (-92.3088197 42.4700957)
2012,7,BLACK HAWK,17484855,7654874,9246928,4121495,6297386,1562243,5092557,0,6437088,12138519,70035945,2519977,0,72555922,POINT (-92.3088197 42.4700957)
2013,7,BLACK HAWK,17607745,7869191,5562162,7402999,6172650,1705477,4845504,0,6070245,5610058,62846031,2995197,0,65841228,POINT (-92.3088197 42.4700957)
2014,7,BLACK HAWK,18666500,7286924,6531467,4731111,5473765,1764463,5132570,0,5686247,3929901,59202948,9686435,0,68889383,POINT (-92.3088197 42.4700957)
2015,7,BLACK HAWK,19031163,7276643,6588351,3962310,5477446,1778144,5262939,0,6756021,649554,56782571,3377226,0,60159797,POINT (-92.3088197 42.4700957)
2016,7,BLACK HAWK,19530826,7393630,5457069,5559648,6112950,2594942,5162577,0,12055469,6454448,70321559,3308359,7920119,81550037,POINT (-92.3088197 42.4700957)
2017,7,BLACK HAWK,20431814,7431336,6290031,5124757,6325744,2074400,5323208,0,13215905,4441366,70658561,6060074,0,76718635,POINT (-92.3088197 42.4700957)
2018,7,BLACK HAWK,22064787,8528400,6387385,4570673,7125313,2125944,5700398,0,8405719,4444740,69353359,9048274,0,78401633,POINT (-92.3088197 42.4700957)
2019,7,BLACK HAWK,21372006,6389709,5968080,2803687,7331575,2197355,6125643,0,7621119,4262363,64071537,11576310,0,75647847,POINT (-92.3088197 42.4700957)
2020,7,Black Hawk,21921882,6431569,5308719,3844724,7340172,2313591,5644077,0,7497701,2390136,62692571,10673867,0,73366438,POINT (-92.3088197 42.4700957)
2021,7,Black Hawk,20835035,6627264,4063190,3060849,7413919,2588753,5973923,0,6324543,4732225,61619701,14364882,5419842,81404425,POINT (-92.3088197 42.4700957)
2010,8,BOONE,2849078,741116,2370740,889780,5370544,539636,1639944,0,4294487,1295034,19990359,2024871,0,22015230,POINT (-93.931671 42.0365493)
2011,8,BOONE,3044563,786671,2528017,1944876,5598636,558513,1661466,0,642993,398340,17164075,2161467,0,19325542,POINT (-93.931671 42.0365493)
2012,8,BOONE,2971806,657553,2573878,1715589,5392723,535638,1535903,0,1716334,717057,17816481,2019123,0,19835604,POINT (-93.931671 42.0365493)
2013,8,BOONE,3139221,627502,990305,1443838,5320086,566201,1611503,0,697401,1286458,15682515,2343783,0,18026298,POINT (-93.931671 42.0365493)
2014,8,BOONE,3317174,646572,1778573,1439731,5508311,530799,1758354,0,736588,3352519,19068621,2834622,0,21903243,POINT (-93.931671 42.0365493)
2015,8,BOONE,3362924,610477,1168031,1031207,5152110,587735,1669674,0,742002,355207,14679367,2838251,0,17517618,POINT (-93.931671 42.0365493)
2016,8,BOONE,3496382,596411,346931,1030404,6121354,521221,1781067,67742,740165,789920,15491597,3295589,0,18787186,POINT (-93.931671 42.0365493)
2017,8,BOONE,3810725,587569,725461,1084494,5986320,591323,1812330,505693,746453,667677,16518045,3125536,0,19643581,POINT (-93.931671 42.0365493)
2018,8,BOONE,3871154,617089,587578,1537760,6453913,606656,1813086,152898,470527,1337555,17448216,2747190,0,20195406,POINT (-93.931671 42.0365493)
2019,8,BOONE,3996472,618385,788310,1149851,6515822,623317,1928029,102994,658592,78473,16460245,3335096,0,19795341,POINT (-93.931671 42.0365493)
2020,8,Boone,4179176,629846,1103387,1196769,6565488,670141,2018266,147344,656391,958796,18125604,3567636,0,21693240,POINT (-93.931671 42.0365493)
2021,8,Boone,4426943,620213,765783,1277789,7496360,661086,2020692,330616,3194875,1446174,22240531,3723419,0,25963950,POINT (-93.931671 42.0365493)
2010,9,BREMER,2950907,583381,1954365,1123550,3833500,665020,1596870,68328,465060,670170,13911151,1799310,0,15710461,POINT (-92.31805480000001 42.7745873)
2011,9,BREMER,3048120,380123,2082989,1214391,4059078,583579,1401850,30311,466135,1616006,14882582,3691576,82072,18656230,POINT (-92.31805480000001 42.7745873)
2012,9,BREMER,3090998,418745,2578100,1106316,4231859,667369,1466698,102583,4511651,1226284,19400603,2778037,0,22178640,POINT (-92.31805480000001 42.7745873)
2013,9,BREMER,3374887,664348,1535301,1118081,4219493,669273,1387576,39312,319243,611799,13939313,2781875,0,16721188,POINT (-92.31805480000001 42.7745873)
2014,9,BREMER,3481638,400098,1247545,1256235,4314335,696415,1370074,33430,327330,525379,13652479,3041960,0,16694439,POINT (-92.31805480000001 42.7745873)
2015,9,BREMER,3553170,391992,1133232,1437964,4362795,671968,1459873,24263,324680,1341349,14701286,2807679,0,17508965,POINT (-92.31805480000001 42.7745873)
2016,9,BREMER,3646882,1441504,1136188,1656276,4736497,741911,1623332,28533,321235,895593,16227951,2988998,0,19216949,POINT (-92.31805480000001 42.7745873)
2017,9,BREMER,3811165,1706809,1130305,1421125,5233430,764406,1596210,12466,327260,1436090,17439266,3142287,0,20581553,POINT (-92.31805480000001 42.7745873)
2018,9,BREMER,4036294,1576855,905695,1524344,5221181,786146,1696954,150706,322310,445030,16665515,3295450,0,19960965,POINT (-92.31805480000001 42.7745873)
2019,9,BREMER,4405629,1539669,789763,1413562,5520521,768097,1738022,12893,322667,694316,17205139,3392678,0,20597817,POINT (-92.31805480000001 42.7745873)
2020,9,Bremer,4463783,1480401,946717,1512753,6200739,787786,1989930,45752,326445,2117826,19872132,3409151,0,23281283,POINT (-92.31805480000001 42.7745873)
2021,9,Bremer,4920504,1141606,1105802,1593922,5785515,870235,1882776,66270,669200,923832,18959662,3303846,0,22263508,POINT (-92.31805480000001 42.7745873)
2010,10,BUCHANAN,2268050,361397,2762301,1086436,4081132,461955,1951113,57583,474103,4054293,17558363,2072477,0,19630840,POINT (-91.8378392 42.4707777)
2011,10,BUCHANAN,2705557,472467,2850076,1141743,5263492,606249,1326594,45490,386950,1254541,16053159,2031317,0,18084476,POINT (-91.8378392 42.4707777)
2012,10,BUCHANAN,2952400,516517,3008669,1176606,4796648,642192,1342469,99876,492199,729057,15756633,2030898,0,17787531,POINT (-91.8378392 42.4707777)
2013,10,BUCHANAN,2927362,540022,1726548,1219709,4546615,622870,1342887,46301,537403,1228123,14737840,2244540,0,16982380,POINT (-91.8378392 42.4707777)
2014,10,BUCHANAN,3302197,543092,1026180,1085633,5427224,620429,1347764,55630,649350,780474,14837973,2464307,0,17302280,POINT (-91.8378392 42.4707777)
2015,10,BUCHANAN,3301254,567853,1112670,1101598,5857953,677836,1415249,63411,606242,1445432,16149498,2542498,0,18691996,POINT (-91.8378392 42.4707777)
2016,10,BUCHANAN,3404055,525320,1085704,1145583,5756820,654617,1385989,82434,562055,1623555,16226132,2497679,0,18723811,POINT (-91.8378392 42.4707777)
2017,10,BUCHANAN,3320326,567660,1006120,1222950,5717294,654387,1503208,67666,3406413,902922,18368946,2719049,0,21087995,POINT (-91.8378392 42.4707777)
2018,10,BUCHANAN,3629690,526211,825390,1119865,5486866,704978,1567471,59228,536772,492313,14948784,2761961,0,17710745,POINT (-91.8378392 42.4707777)
2019,10,BUCHANAN,3801692,585365,852541,1151089,6441133,725773,2163930,60323,541844,463610,16787300,3062328,0,19849628,POINT (-91.8378392 42.4707777)
2020,10,Buchanan,4028905,601982,1082769,1125934,6440538,840890,1768067,49252,533953,1580508,18052798,2376063,0,20428861,POINT (-91.8378392 42.4707777)
2021,10,Buchanan,4004777,971002,1109004,1297188,6126381,826904,1610442,49473,929827,2845580,19770578,1130000,0,20900578,POINT (-91.8378392 42.4707777)
2010,11,BUENA VISTA,2418498,1199596,1263632,635725,3958078,635106,1203752,28756,4190945,958397,16492485,1801700,0,18294185,POINT (-95.15114900000002 42.7354936)
2011,11,BUENA VISTA,2658857,1130041,1267437,668824,3779119,637084,1221623,9180,1048021,1476837,13897023,1980062,0,15877085,POINT (-95.15114900000002 42.7354936)
2012,11,BUENA VISTA,2857957,1076669,1660237,724666,4435085,673828,1389034,4757,1044070,1166552,15032855,2157718,0,17190573,POINT (-95.15114900000002 42.7354936)
2013,11,BUENA VISTA,3134525,1113824,889826,666689,4243570,705677,1533506,4333,1040473,1037452,14369875,2385935,0,16755810,POINT (-95.15114900000002 42.7354936)
2014,11,BUENA VISTA,3291387,1152903,787860,718720,4462164,740984,1676497,5092,970625,1714176,15520408,2340421,0,17860829,POINT (-95.15114900000002 42.7354936)
2015,11,BUENA VISTA,3419609,1163489,1477045,665187,3896729,707227,1713753,3777,957880,1650682,15655378,2417250,0,18072628,POINT (-95.15114900000002 42.7354936)
2016,11,BUENA VISTA,3569307,1162789,1038630,780552,4479563,767926,1757819,33624,962622,2216195,16769027,2450808,0,19219835,POINT (-95.15114900000002 42.7354936)
2017,11,BUENA VISTA,3708531,1297706,893150,769593,6101145,798239,1866856,592553,960472,807734,17795979,2612768,0,20408747,POINT (-95.15114900000002 42.7354936)
2018,11,BUENA VISTA,3891266,1310643,870228,1088780,5459620,823993,1718510,1234797,786495,3065252,20249584,2959017,0,23208601,POINT (-95.15114900000002 42.7354936)
2019,11,BUENA VISTA,4018180,1354962,678163,1225627,8367181,848617,1848149,171107,1047966,3258963,22818915,2987320,0,25806235,POINT (-95.15114900000002 42.7354936)
2020,11,Buena Vista,4284001,1367989,823336,1628860,6058193,912502,1934288,107910,1187705,806303,19111087,2831445,0,21942532,POINT (-95.15114900000002 42.7354936)
2021,11,Buena Vista,4489435,1463509,904864,1218703,5556082,947079,2185227,231638,1306966,1119552,19423055,2819219,0,22242274,POINT (-95.15114900000002 42.7354936)
2010,12,BUTLER,1777192,1438501,1143541,694553,4569312,449528,1305420,39702,38942,634107,12090798,1660257,0,13751055,POINT (-92.7901934 42.7315661)
2011,12,BUTLER,1847968,1431765,14663690,647254,4799497,427051,1496570,17785,77371,2307345,27716296,2909238,0,30625534,POINT (-92.7901934 42.7315661)
2012,12,BUTLER,1943971,1334828,33000875,730729,6489996,471891,1516775,1184,238648,1811647,47540544,4073619,0,51614163,POINT (-92.7901934 42.7315661)
2013,12,BUTLER,1961138,1251448,25414346,687166,4954762,472948,1492111,0,493777,712985,37440681,2249351,0,39690032,POINT (-92.7901934 42.7315661)
2014,12,BUTLER,2028803,1256257,22252644,734394,4836695,503613,1602322,36118,534737,1928920,35714503,2185820,0,37900323,POINT (-92.7901934 42.7315661)
2015,12,BUTLER,2091786,1368720,23233722,726055,5103856,647862,1582436,0,544341,787275,36086053,2165091,0,38251144,POINT (-92.7901934 42.7315661)
2016,12,BUTLER,2143903,1342397,6011998,1048469,4841550,557264,1537046,0,619495,2329737,20431859,2476816,0,22908675,POINT (-92.7901934 42.7315661)
2017,12,BUTLER,2175309,1364124,557732,861102,5593268,585499,1645753,1396,590740,1706915,15081838,2311187,0,17393025,POINT (-92.7901934 42.7315661)
2018,12,BUTLER,2233355,1291648,640390,797683,5730361,535993,1830126,772,705109,2263376,16028813,2727301,0,18756114,POINT (-92.7901934 42.7315661)
2019,12,BUTLER,2306770,1291170,690907,2760163,6521991,523529,1714770,15451,587615,1618378,18030744,4345678,0,22376422,POINT (-92.7901934 42.7315661)
2020,12,Butler,2335626,1280155,591069,1549041,5875474,554782,1863117,0,651410,1638364,16339038,3733829,0,20072867,POINT (-92.7901934 42.7315661)
2021,12,Butler,2403177,1355839,436170,1727141,6776665,555229,1875293,1504,1011930,3388151,19531099,6050590,0,25581689,POINT (-92.7901934 42.7315661)
2010,13,CALHOUN,1767381,2482838,1074177,590324,4035729,455323,944998,4835,0,230291,11585896,1298960,0,12884856,POINT (-94.6404136 42.385184800000005)
2011,13,CALHOUN,1720634,2126911,1179181,604540,4835343,473038,896595,36060,0,253590,12125892,1639359,0,13765251,POINT (-94.6404136 42.385184800000005)
2012,13,CALHOUN,1811941,1981975,1390850,613793,4052521,501328,912619,2090,0,424024,11691141,1625944,0,13317085,POINT (-94.6404136 42.385184800000005)
2013,13,CALHOUN,1895467,1950214,351443,599519,4042852,549508,1015262,3141,0,476843,10884249,1332354,0,12216603,POINT (-94.6404136 42.385184800000005)
2014,13,CALHOUN,2049153,1885894,421788,636095,5324898,567466,1349671,2048,0,283693,12520706,1314062,0,13834768,POINT (-94.6404136 42.385184800000005)
2015,13,CALHOUN,2360289,1615365,600707,704185,4903804,538782,1091378,542,0,93809,11908861,1385313,0,13294174,POINT (-94.6404136 42.385184800000005)
2016,13,CALHOUN,2440069,1564563,460236,678979,4721327,566047,1084326,31685,0,463052,12010284,1433371,0,13443655,POINT (-94.6404136 42.385184800000005)
2017,13,CALHOUN,2556470,1421475,454184,731917,4917332,548853,1279538,636558,0,697726,13244053,1611143,0,14855196,POINT (-94.6404136 42.385184800000005)
2018,13,CALHOUN,2542901,1335698,457688,763937,5120116,501536,1199812,1322676,0,1181201,14425565,1455498,0,15881063,POINT (-94.6404136 42.385184800000005)
2019,13,CALHOUN,2787389,1363865,397227,809303,5180557,511109,1255459,135724,0,797025,13237658,1502139,0,14739797,POINT (-94.6404136 42.385184800000005)
2020,13,Calhoun,2831021,1297322,451346,1139285,5350874,466894,1426167,145545,0,543807,13652261,1692432,0,15344693,POINT (-94.6404136 42.385184800000005)
2021,13,Calhoun,3065370,1229636,507417,1303770,4986231,478329,1425673,99828,0,492361,13588615,1758551,0,15347166,POINT (-94.6404136 42.385184800000005)
2010,14,CARROLL,2767435,1130633,2211291,1050598,4640369,415502,1317327,113256,90408,1008240,14745059,1716300,0,16461359,POINT (-94.8605593 42.0362382)
2011,14,CARROLL,2862443,1131472,2164003,1041452,4872659,418074,1383073,925606,78602,2120979,16998363,3296440,0,20294803,POINT (-94.8605593 42.0362382)
2012,14,CARROLL,2947361,1113687,2706757,1040506,4742624,449965,1490694,201925,0,1087042,15780561,1894285,0,17674846,POINT (-94.8605593 42.0362382)
2013,14,CARROLL,3097706,1380454,1309875,1024465,4666471,557461,1548440,0,0,799544,14384416,1757000,0,16141416,POINT (-94.8605593 42.0362382)
2014,14,CARROLL,3400404,1044483,960855,2408335,4727334,473537,1629979,0,0,982539,15627466,1857000,0,17484466,POINT (-94.8605593 42.0362382)
2015,14,CARROLL,3547939,1170473,1352467,1071829,5364265,476800,1548613,0,0,448922,14981308,2049000,0,17030308,POINT (-94.8605593 42.0362382)
2016,14,CARROLL,3683264,1150717,1066060,1069583,5848438,506475,1575675,0,25063,1874729,16800004,2225263,0,19025267,POINT (-94.8605593 42.0362382)
2017,14,CARROLL,3588543,1075132,914343,1122595,6004736,521564,1656536,34146,23610,1663871,16605076,2370249,0,18975325,POINT (-94.8605593 42.0362382)
2018,14,CARROLL,3723918,1015991,710410,1236059,5895643,592290,1690987,62756,18005,244501,15190560,3157500,0,18348060,POINT (-94.8605593 42.0362382)
2019,14,CARROLL,3927608,1013353,557473,1204196,6341956,636591,1779415,55786,14717,700212,16231307,3112024,0,19343331,POINT (-94.8605593 42.0362382)
2020,14,Carroll,4281664,987652,651040,1292623,6961861,693758,2499286,62292,620499,3069823,21120498,3997743,0,25118241,POINT (-94.8605593 42.0362382)
2021,14,Carroll,4754439,923855,725544,1174533,5924915,570515,1946509,25594,4628557,7829916,28504377,3440928,0,31945305,POINT (-94.8605593 42.0362382)
2010,15,CASS,1659802,534356,2085495,378111,4251396,397981,1019959,1489345,52295,1137459,13006199,1933028,0,14939227,POINT (-94.9278266 41.3314876)
2011,15,CASS,1812195,481566,1871100,425036,4173916,412416,1067512,955872,51584,823574,12074771,1918821,0,13993592,POINT (-94.9278266 41.3314876)
2012,15,CASS,1943844,468751,2111138,425642,4397373,400834,1130237,928553,249448,2176455,14232275,2254497,0,16486772,POINT (-94.9278266 41.3314876)
2013,15,CASS,2030936,361451,1493922,411321,4219694,431900,1257544,1220265,77722,407953,11912708,2305267,0,14217975,POINT (-94.9278266 41.3314876)
2014,15,CASS,2355975,502620,1089646,429283,4951507,519656,1299672,2392907,77435,466710,14085411,2074805,0,16160216,POINT (-94.9278266 41.3314876)
2015,15,CASS,2397868,508821,1684914,438855,4321093,496922,1346757,2590235,501882,874434,15161781,2523101,0,17684882,POINT (-94.9278266 41.3314876)
2016,15,CASS,2394947,449306,664843,474697,4541709,538462,1291167,983909,577998,1174889,13091927,3271964,0,16363891,POINT (-94.9278266 41.3314876)
